Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
"Lithography, metrology and nanomanufacturing","['Liddle, J. Alexander', 'Gallatin, Gregg M.']",NANOSCALE,3,7,2011,liddle@nist.gov,"Natl Inst Stand & Technol, Ctr Nanoscale Sci & Technol, 100 Bur Dr, Gaithersburg, MD 20899 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['ELECTRON-BEAM LITHOGRAPHY', 'CHEMICALLY AMPLIFIED PHOTORESIST', 'DIP-PEN NANOLITHOGRAPHY', 'LINE EDGE ROUGHNESS', 'ROLL-TO-ROLL', 'NANOIMPRINT LITHOGRAPHY', 'IMPRINT LITHOGRAPHY', 'BLOCK-COPOLYMERS', 'RESOLUTION', 'SYSTEMS']",[]
3D-patterned polymer brush surfaces,"['Zhou, Xuechang', 'Liu, Xuqing', 'Xie, Zhuang', 'Zheng, Zijian']",NANOSCALE,3,12,2011,tczzheng@inet.polyu.edu.hk,"Hong Kong Polytech Univ, Nanotechnol Ctr, Inst Text & Clothing, Hong Kong, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'OPENING METATHESIS POLYMERIZATION', 'TRANSFER RADICAL POLYMERIZATION', 'CELL-ADHESION', 'POLYELECTROLYTE BRUSHES', 'CHEMICAL LITHOGRAPHY', 'INITIATED POLYMERIZATIONS', 'ELECTROLESS DEPOSITION', 'PATTERNING SURFACES']","[['Hong Kong Polytechnic University', '1-ZV5Z\xa0\nA-PK09\xa0\nA-PK21'], ['Research Grant Council of Hong Kong', 'PolyU504111']]"
"Synthesis, Processing, and Manufacturing of Components, Devices, and Systems","['Mirkin, Chad A.', 'Tuominen, Mark', 'Roco, MC;', 'Mirkin, CA;', 'Hersam, MC']",NANOTECHNOLOGY RESEARCH DIRECTIONS FOR SOCIETAL NEEDS IN 2020: RETROSPECTIVE AND OUTLOOK,1,UNDEFINED,2011,chadnano@northwestern.cdu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Science & Technology - Other Topics', 'Biomedical Social Sciences']","['Fabrication', 'Patterning', 'Assembly', 'Scalability', 'Large-area', 'High-throughput', 'Nanomanufacturing', 'Carbon-based devices', 'Polymers', 'Roll-to-roll', 'Dendrimers', 'Forest products']","['DIP-PEN NANOLITHOGRAPHY', 'BORON-NITRIDE NANOTUBES', 'BLOCK-COPOLYMER LITHOGRAPHY', 'ON-WIRE LITHOGRAPHY', 'NANOPARTICLE SUPERLATTICES', 'COLLOIDAL CRYSTALLIZATION', 'BUILDING-BLOCKS', 'GRAPHENE FILMS', 'SQUARE ARRAYS', 'THIN-FILMS']",[]
A matrix micropatterning platform for cell localization and stem cell fate determination,"['Huang, Ngan F.', 'Patlolla, Bhagat', 'Abilez, Oscar', 'Sharma, Himanshu', 'Rajadas, Jaykumar', 'Beygui, Ramin E.', 'Zarins, Christopher K.', 'Cooke, John P.']",ACTA BIOMATERIALIA,6,12,Dec-10,john.cooke@stanford.edu,"Stanford Univ, Div Cardiovasc Med, Stanford, CA 94305 USA.","['Engineering', 'Materials Science']","['Extracellular matrix', 'Microscale', 'Embryonic stem cells', 'Differentiation', 'Micropatterning']","['DIP-PEN NANOLITHOGRAPHY', 'EXTRACELLULAR-MATRIX', 'ARRAYS', 'SHAPE', 'DIFFERENTIATION', 'ANGIOGENESIS', 'LITHOGRAPHY', 'RESOLUTION', 'INTEGRINS', 'BIOLOGY']","[['California Institute for Regenerative Medicine', 'RC1-00151-1'], ['National Institutes of Health', 'U01HL100397\xa0\nU01HL099775\xa0\n1R21HL08-9027\xa0\nRC2HL103400\xa0\n1F32HL095355-01'], ['National Science Foundation', 'EFRI 0735551'], ['American Heart Association', ''], ['Advanced Residency Program at Stanford', '']]"
Enhancing CMOS Using Nanoelectronic Devices: A Perspective on Hybrid Integrated Systems,"['Ricketts, David S.', 'Bain, James A.', 'Luo, Yi', 'Blanton, Ronald DeShawn Shawn', 'Mai, Kenneth', 'Fedder, Gary K.']",PROCEEDINGS OF THE IEEE,98,12,Dec-10,ricketts@ece.cmu.edu; jbain@ece.cmu.edu; yl827@andrew.cmu.edu; blanton@andrew.cmu.edu; kenmai@ece.cmu.edu; fedder@ece.cmu.edu,"Carnegie Mellon Univ, Dept Elect & Comp Engn, Pittsburgh, PA 15213 USA.",['Engineering'],"['Complementary metal-oxide-semiconductor (CMOS)', 'memory', 'nanoimprint', 'nanotechnology', 'parallel fabrication', 'reconfigurable circuits', 'scanning probe microscopy', 'self-evolving systems']","['PHASE-CHANGE MEDIA', 'CHEMICAL SENSORS', 'ROOM-TEMPERATURE', 'NANOWIRE ARRAYS', 'NANOIMPRINT LITHOGRAPHY', 'POLYANILINE NANOFIBERS', 'IMPRINT LITHOGRAPHY', 'LEARNING APPROACH', 'TUNNEL-JUNCTIONS', 'SOFT LITHOGRAPHY']","[['National Science Foundation (NSF)', 'ECCS-0507050\xa0\nDMR-0804779'], ['U.S.-Israel Binational Science Foundation', '2006080'], ['Carnegie Mellon Data Storage Systems Center', ''], ['MISCIC Center at Carnegie Mellon', ''], ['Defense Advanced Research Projects Agency (DARPA)', 'HR0011-06-1-0047'], ['Focus Center Research Program (FCRP) Center on Functional Engineered Nano Architectonics, DARPA', 'HR0011-06-1-0047\xa0\nN66001-08-1-203'], ['FCRP Focus Center for Circuit and System Solutions', 'C2S2\xa0\n2003-CT-888'], ['Pennsylvania Infrastructure Technology Alliance', '']]"
Scanning probe block copolymer lithography,"['Chai, Jinan', 'Huo, Fengwei', 'Zheng, Zijian', 'Giam, Louise R.', 'Shim, Wooyoung', 'Mirkin, Chad A.']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,107,47,NOV 23 2010,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Science & Technology - Other Topics'],"['scanning probe lithography', 'block copolymer micelles', 'single particle synthesis', 'nanopatterning']","['DIP-PEN NANOLITHOGRAPHY', 'INTERPARTICLE DISTANCE', 'SILVER NANOPARTICLES', 'GOLD NANOPARTICLES', 'ARRAYS', 'FILMS', 'TEMPLATES', 'MICELLES', 'PATTERNS', 'DOMAINS']","[['US Air Force Office of Scientific Research', ''], ['Defense Advanced Research Projects Agency', ''], ['National Science Foundation (NSF)', ''], ['National Institutes of Health', ''], ['Department of Defense', ''], ['Natural Sciences and Engineering Research Council of Canada', '']]"
Biomimetic Nanopatterns as Enabling Tools for Analysis and Control of Live Cells,"['Kim, Deok-Ho', 'Lee, Hyojin', 'Lee, Young Kwang', 'Nam, Jwa-Min', 'Levchenko, Andre']",ADVANCED MATERIALS,22,41,NOV 2 2010,jmnam@snu.ac.kr; alev@hju.edu,"Seoul Natl Univ, Dept Chem, Seoul 151747, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'TISSUE ENGINEERING APPLICATIONS', 'SELF-ASSEMBLED MONOLAYERS', 'ATOMIC-FORCE MICROSCOPY', 'STEM-CELLS', 'SIGNAL-TRANSDUCTION', 'COLLAGEN NANOFIBERS', 'PROTEIN NANOARRAYS', 'FIBROUS SCAFFOLDS']","[['National Institutes of Health', '1R21EB008562-01A1'], ['American Heart Association', '0815104E'], ['National Research Foundation of Korea', '20090077361'], ['21C Frontier Functional Proteomics Project', 'FPR08-A2-150'], ['Korea Science and Engineering Foundation from Ministry of Education, Science and Technology', ''], ['Seoul Science Fellowship', '']]"
Parallel Scanning Near-Field Photolithography: The Snomipede,"['ul Haq, Ehtsham', 'Liu, Zhuming', 'Zhang, Yuan', 'Ahmad, Shahrul A. Alang', 'Wong, Lu-Shin', 'Armes, Steven P.', 'Hobbs, Jamie K.', 'Leggett, Graham J.', 'Micklefield, Jason', 'Roberts, Clive J.', 'Weaver, John M. R.']",NANO LETTERS,10,11,Nov-10,Graham.Leggett@shef.ac.uk,"Univ Sheffield, Dept Chem, Brook Hill, Sheffield S3 7HF, S Yorkshire, England.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Nanolithography', 'near-field lithography', 'scanning probe array', 'parallel probe lithography', 'near-field optics', 'spatial light modulator']","['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'ATOMIC-FORCE MICROSCOPY', 'CONSTRUCTIVE NANOLITHOGRAPHY', 'PROTEIN NANOSTRUCTURES', 'OPTICAL LITHOGRAPHY', 'FABRICATION', 'SURFACES', 'RESOLUTION', 'PATTERNS']","[['RCUK', 'GR/C523857/1']]"
Arrays of Nanoscale Lenses for Subwavelength Optical Lithography,"['Jang, Jae-Won', 'Zheng, Zijian', 'Lee, One-Sun', 'Shim, Wooyoung', 'Zheng, Gengfeng', 'Schatz, George C.', 'Mirkin, Chad A.']",NANO LETTERS,10,11,Nov-10,schatz@chem.northwestern.edu; chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Dip-pen', 'lithography', 'poly(ethylene glycol)', 'photomask', 'photoresist', 'phase-shift', 'nano', 'lens', 'finite element method', 'simulation']","['DIP-PEN NANOLITHOGRAPHY', 'ELASTOMERIC PHASE MASK', 'NEAR-FIELD', 'SUB-100 NM', 'PHOTOLITHOGRAPHY', 'OLIGONUCLEOTIDES', 'NANOSTRUCTURES', 'NANOPARTICLES', 'GENERATION', 'TEMPLATES']","[['National Science Foundation', 'CHE-0843832'], ['Northwestern NSEC Center (NSF)', 'EEC-0647560'], ['AFOSR', ''], ['DARPA', '']]"
Programming nanostructures of polymer brushes by dip-pen nanodisplacement lithography (DNL),"['Liu, Xuqing', 'Li, Yi', 'Zheng, Zijian']",NANOSCALE,2,12,Nov-10,tczzheng@inet.polyu.edu.hk,"Hong Kong Polytech Univ, Inst Text & Clothing, Nanotechnol Ctr, Kowloon, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['TRANSFER RADICAL POLYMERIZATION', 'SURFACE-INITIATED POLYMERIZATIONS', 'OPENING METATHESIS POLYMERIZATION', 'SELF-ASSEMBLED MONOLAYERS', 'POLYELECTROLYTE BRUSHES', 'ELECTROLESS DEPOSITION', 'FUNCTIONAL POLYMERS', 'PATTERNING SURFACES', 'RESPONSIVE POLYMER', 'NANOLITHOGRAPHY']","[['Research Grant Council of Hong Kong', 'PolyU 5234/08E'], ['Niche Area', 'J/BB6Q'], ['Hong Kong Polytechnic University', 'A-PK09\xa0\n1-ZV5Z']]"
Controlling Cell Behavior Through the Design of Polymer Surfaces,"['Alves, Natalia M.', 'Pashkuleva, Iva', 'Reis, Rui L.', 'Mano, Joao F.']",SMALL,6,20,OCT 18 2010,jmano@dep.uminho.pt,"Univ Minho, Res Grp 3B, Headquarters European Inst Excellence Tissue Engn, AvePk, P-4806909 Taipas, Guimaraes, Portugal.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['SELF-ASSEMBLED MONOLAYERS', 'POLYELECTROLYTE MULTILAYER FILMS', 'POLY(L-LACTIC ACID)', 'IN-VITRO', 'LASER-ABLATION', 'BIOMEDICAL APPLICATIONS', 'FIBROBLAST ADHESION', 'FIBROUS SCAFFOLDS', 'NEURITE OUTGROWTH', 'FUNCTIONAL-GROUPS']","[['European Union', 'NMP4-SL-2009-229292'], ['FCT', 'PTDC/FIS/68517/2006\xa0\nPTDC/QUI/69263/2006\xa0\nPTDC/FIS/68209/2006\xa0\nPTDC/QUI/68804/2006']]"
Fabrication of periodic square arrays by angle-resolved nanosphere lithography,"['Lee, Kwang Hong', 'Chen, Qiu Ling', 'Yip, Chan Hoe', 'Yan, Qingfeng', 'Wong, Chee Cheong']",MICROELECTRONIC ENGINEERING,87,10,Oct-10,leek0046@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, Singapore 639798, Singapore.","['Engineering', 'Science & Technology - Other Topics', 'Optics', 'Physics']","['Angle-resolved nanosphere lithography (ARNSL)', 'Square array', 'Gold etching']","['DIP-PEN-NANOLITHOGRAPHY', 'SURFACE-PLASMON RESONANCE', 'DIELECTRIC ENVIRONMENT', 'SILVER NANOPARTICLES', 'METAL NANOPARTICLES', 'OPTICAL-PROPERTIES', 'PHOTONIC CRYSTALS', 'NANOSTRUCTURES', 'SPECTROSCOPY', 'NANOSENSORS']",[]
NANOLITHOGRAPHY Written with light,"['Hernandez-Santana, Aaron', 'Graham, Duncan']",NATURE NANOTECHNOLOGY,5,9,Sep-10,duncan.graham@strath.ac.uk,"Univ Strathclyde, Dept Pure & Appl Chem, Ctr Mol Nanometrol, Glasgow G1 1XL, Lanark, Scotland.","['Science & Technology - Other Topics', 'Materials Science']",[],"['POLYMER PEN LITHOGRAPHY', 'RESOLUTION']",[]
Beam pen lithography,"['Huo, Fengwei', 'Zheng, Gengfeng', 'Liao, Xing', 'Giam, Louise R.', 'Chai, Jinan', 'Chen, Xiaodong', 'Shim, Wooyoung', 'Mirkin, Chad A.']",NATURE NANOTECHNOLOGY,5,9,Sep-10,chadnano@northwestern.edu,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Science & Technology - Other Topics', 'Materials Science']",[],"['NANOLITHOGRAPHY', 'PHOTOLITHOGRAPHY', 'RESOLUTION', 'ARRAYS', 'PROBE', 'LIGHT']","[['U.S. Air Force Office of Scientific Research (AFOSR)', ''], ['Defense Advanced Research Projects Agency (DARPA)', ''], ['NSF (NSEC)', ''], ['DoD', ''], ['NSF', ''], ['ARCS', '']]"
Large-Area Nanoscale Patterning of Functional Materials by Nanomolding in Capillaries,"['Duan, Xuexin', 'Zhao, Yiping', 'Berenschot, Erwin', 'Tas, Niels R.', 'Reinhoudt, David N.', 'Huskens, Jurriaan']",ADVANCED FUNCTIONAL MATERIALS,20,15,AUG 9 2010,j.huskens@utwente.nl,"Univ Twente, Mol Nanofabricat Grp, MESA Inst Nanotechnol, POB 217, NL-7500 AE Enschede, Netherlands.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['SOFT-LITHOGRAPHY', 'HIGH-RESOLUTION', 'NANOIMPRINT LITHOGRAPHY', 'BEAM LITHOGRAPHY', 'DEVICES', 'NANOFABRICATION', 'MONOLAYERS', 'MICROSTRUCTURES', 'FABRICATION', 'NANOWIRES']","[['Nanotechnology network in the Netherlands NanoNed', 'TMM. 7125'], ['MESA+ Institute for Nanotechnology (SRO Nanofabrication)', '']]"
Building Upon Patterned Organic Mono layers Produced via Catalytic Stamp Lithography,"['Mizuno, Hidenori;', 'Buriak, Jillian M.']",ACS APPLIED MATERIALS & INTERFACES,2,8,Aug-10,jburiak@ualberta.ca,"Univ Alberta, Dept Chem, Edmonton, AB T6G 2G2, Canada.","['Science & Technology - Other Topics', 'Materials Science']","['nanoscale patterning', 'organic monolayer', 'catalytic scamp', 'palladium', 'catalyst', 'hydrogenation', 'Heck reaction']","['SELF-ASSEMBLED MONOLAYERS', 'RAY PHOTOELECTRON-SPECTROSCOPY', 'DIP-PEN NANOLITHOGRAPHY', 'HECK REACTION', 'FLAT STAMPS', 'HETEROGENEOUS CATALYSIS', 'GOLD NANOPARTICLES', 'SI(111) SURFACES', 'SUZUKI', 'NANOSTRUCTURES']","[['National Institute for Nanotechnology (NINT)', ''], ['Natural Science and Engineering Research Council (NSERC) of Canada', ''], ['National Research Council (NRC) Canada', ''], ['Canadian Foundation for Innovation (CFI)', ''], ['University of Alberta', '']]"
Thermal effects on photogeneration of free carriers in organic conductors,"['de Oliveira Neto, Pedro H.', 'da Cunha, Wiliam F.', 'Roncaratti, Luiz F.', 'Gargano, Ricardo', 'M e Silva, Geraldo']",CHEMICAL PHYSICS LETTERS,493,6-Apr,JUN 25 2010,gargano@fis.unb.br,"Univ Brasilia, Inst Phys, CP04455, BR-70919970 Brasilia, DF, Brazil.","['Chemistry', 'Physics']",[],"['CONJUGATED POLYMERS', 'POLARON PAIRS', 'GENERATION', 'FIELD', 'DISSOCIATION', 'TEMPERATURE', 'DYNAMICS']","[['Brazilian Research Councils CNPq', ''], ['CAPES', ''], ['FINATEC', '']]"
High sensitive detection of C-reactive protein by total internal reflection fluorescence microscopy on rapidly making nanoarray protein chip,"['Islam, Md. Shahinul', 'Lee, Hee Gu', 'Choo, Jaebum', 'Song, Joon Myong', 'Kang, Seong Ho']",TALANTA,81,5-Apr,JUN 15 2010,UNDEFINED,"Chonbuk Natl Univ, Dept Chem, Jeonju 561756, South Korea.",['Chemistry'],"['C-reactive protein', 'Nanoarray protein chip', 'Surface patterning tool', 'Single-molecule detection', 'Total internal reflection fluorescence microscopy (TIRFM)']","['DIP-PEN NANOLITHOGRAPHY', 'DNA MICROARRAY', 'HUMAN SERUM', 'IMMUNOASSAY', 'GOLD', 'FABRICATION', 'FILMS']","[['Korea Ministry of Science and Technology', 'M1053608003-05N3608-00310'], ['Korea Science & Engineering Foundation', 'R01-2007-000-20238-0']]"
"Emerging Challenges of Microactuators for Nanoscale Positioning, Assembly, and Manipulation","['Sahu, Bijoyraj', 'Taylor, Curtis R.', 'Leang, Kam K.']",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,132,3,Jun-10,curtis.taylor@ufl.edu; kam@unr.edu,"Univ Florida, Dept Mech & Aerosp Engn, Gainesville, FL 32611 USA.",['Engineering'],[],"['DIP-PEN NANOLITHOGRAPHY', 'COMB-DRIVE ACTUATOR', 'ATOMIC-FORCE MICROSCOPY', 'POLYMERIC THERMAL MICROACTUATOR', 'EMBEDDED SILICON SKELETON', 'ELECTROSTATIC ACTUATORS', 'ELECTROTHERMAL MICROACTUATOR', 'TOPOLOGY OPTIMIZATION', 'TRAVEL RANGE', 'MICROTHERMAL ACTUATORS']","[['National Science Foundation', '0910570']]"
"Interference lithographically defined and catalytically etched, large-area silicon nanocones from nanowires","['Dawood, M. K.', 'Liew, T. H.', 'Lianto, P.', 'Hong, M. H.', 'Tripathy, S.', 'Thong, J. T. L.', 'Choi, W. K.']",NANOTECHNOLOGY,21,20,MAY 21 2010,elechoi@nus.edu.sg,"Natl Univ Singapore, Dept Elect & Comp Engn, 4 Engn Dr 3, Singapore 117576, Singapore.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['POROUS SILICON', 'ARRAYS', 'FABRICATION', 'CATALYSTS', 'FINFET', 'CELLS', 'NM']","[['Singapore-MIT Alliance', ''], ['GLOBALFOUNDRIES Singapore Pte. Ltd', ''], ['Economic Development Board of Singapore', '']]"
Matrix-Assisted Dip-Pen Nanolithography and Polymer Pen Lithography,"['Huang, Ling', 'Braunschweig, Adam B.', 'Shim, Wooyoung', 'Qin, Lidong', 'Lim, Jong Kuk', 'Hurst, Sarah J.', 'Huo, Fengwei', 'Xue, Can', 'Jong, Jae-Won', 'Mirkin, Chad A.']",SMALL,6,10,MAY 21 2010,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, Dept Mat Sci & Engn, Int Inst Nanotechnol, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['dip-pen nanolithography', 'nanomaterials poly(ethylene glycol)', 'polymer-pen lithography']","['METAL NANOPARTICLES', 'NANOSTRUCTURES']","[['AFOSR', ''], ['DARPA-SPAWAR', ''], ['NIH', '5F32CA13648-02']]"
Force- and Time-Dependent Feature Size and Shape Control in Molecular Printing via Polymer-Pen Lithography,"['Liao, Xing', 'Braunschweig, Adam B.', 'Zheng, Zijian', 'Mirkin, Chad A.']",SMALL,6,10,MAY 21 2010,chadnano@northwestern.edu,"Int Inst Nanotechnol, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['lithography', 'microcontact printing', 'nanostructures', 'surface patterning']","['NANOLITHOGRAPHY', 'TRANSPORT', 'STAMP', 'GOLD']","[['DARPA-SPAWAR', ''], ['AFOSR', ''], ['NSF-NSEC', ''], ['NIH', '5F32CA136148-02']]"
Fabrication of Disposable Topographic Silicon Oxide from Sawtoothed Patterns: Control of Arrays of Gold Nanoparticles,"['Cho, Heesook', 'Yoo, Hana', 'Park, Soojin']",LANGMUIR,26,10,MAY 18 2010,spark@unist.ac.kr,"Ulsan Natl Inst Sci & Technol, Sch Energy Engn, Ulsan 689798, South Korea.","['Chemistry', 'Materials Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'ELECTRON-BEAM LITHOGRAPHY', 'COPOLYMER THIN-FILMS', 'BLOCK-COPOLYMERS', 'CONTROLLED GROWTH', 'BOTTOM-UP', 'TEMPLATES', 'NANOFABRICATION', 'GRAPHOEPITAXY']","[['WCU', 'R31-2008-000-20012-0']]"
Nanolithography of Single-Layer Graphene Oxide Films by Atomic Force Microscopy,"['Lu, Gang', 'Zhou, Xiaozhu', 'Li, Hai', 'Yin, Zongyou', 'Li, Bing', 'Huang, Ling', 'Boey, Freddy', 'Zhang, Hua']",LANGMUIR,26,9,MAY 4 2010,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Materials Science']",[],"['DIP-PEN-NANOLITHOGRAPHY', 'SCANNING PROBE LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'METAL NANOPARTICLES', 'AQUEOUS DISPERSIONS', 'CONTROLLED GROWTH', 'GRAPHITE OXIDE', 'SOLAR-CELLS', 'FABRICATION', 'TRANSPARENT']","[['NTU', ''], ['MOE, CRP', 'NRF-CRP2-2007-01'], ['NRF', ''], ['SERC', '092 101 0064'], ['A*STAR', ''], ['Centre for Biomimetic Sensor Science it NM, Singapore', '']]"
Perfectly Hydrophobic Surfaces with Patterned Nanoneedles of Controllable Features,"['Park, Sung-Gyu', 'Lee, Su Yeon', 'Jang, Se Gyu', 'Yang, Seung-Man']",LANGMUIR,26,8,APR 20 2010,smyang@kaist.ac.kr,"Korea Adv Inst Sci & Technol, Dept Chem & Biomol Engn, Natl Creat Res Initiat Ctr Integrated Optofluid S, 335 Gwahangno, Taejon 305701, South Korea.","['Chemistry', 'Materials Science']",[],"['SUPERHYDROPHOBIC FILMS', 'LENGTH SCALES', 'WETTABILITY', 'PARTICLES', 'THETA(A)/THETA(R)=180-DEGREES/180-DEGREES', 'LITHOGRAPHY', 'TOPOGRAPHY', 'COATINGS', 'LIQUIDS', 'DESIGN']","[['Ministry of Science and Technology for ""Complementary Hybridization of Optical and Fluidic Devices for Integrated Optotluidic Systems""', ''], ['Brain Korea 21', '']]"
Aminosilane Micropatterns on Hydroxyl-Terminated Substrates: Fabrication and Applications,"['Li, Hai', 'Zhang, Juan', 'Zhou, Xiaozhu', 'Lu, Gang', 'Yin, Zongyou', 'Li, Gongping', 'Wu, Tom', 'Boey, Freddy', 'Venkatraman, Subbu S.', 'Zhang, Hua']",LANGMUIR,26,8,APR 20 2010,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Materials Science']",[],"['SELF-ASSEMBLED MONOLAYERS', 'DIP-PEN-NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'LAYER GRAPHENE OXIDE', 'GOLD NANOPARTICLES', 'SILICON-OXIDE', 'SELECTIVE DEPOSITION', 'AU NANOPARTICLES', 'PATTERNED GROWTH', 'NANOWIRE ARRAYS']","[['MOE', 'RG 20/07'], ['NRF', 'NRF-CRP2-2007-01'], ['A*STAR', '092 101 0064'], ['Centre for Biomimetic Sensor Science at NTU in Singapore', '']]"
Serial and Parallel Dip-Pen Nano lithography Using a Colloidal Probe Tip,"['Kramer, Marcus A.', 'Jaganathan, Hamsa', 'Ivanisevic, Albena']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,132,13,APR 7 2010,albena@purdue.edu,"Purdue Univ, Weldon Sch Biomed Engn, W Lafayette, IN 47907 USA.",['Chemistry'],[],"['ATOMIC-FORCE MICROSCOPY', 'NANOLITHOGRAPHY', 'POLYMER']",[]
"""Force-Feedback"" Leveling of Massively Parallel Arrays in Polymer Pen Lithography","['Liao, Xing', 'Braunschweig, Adam B.', 'Mirkin, Chad A.']",NANO LETTERS,10,4,Apr-10,chadnano@northwestern.edu,"Int Inst Nanotechnol, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Scanning probe lithography', 'AFM', 'dip pen nanolithography']","['NANOLITHOGRAPHY', 'DIMENSIONS', 'FEATURES', 'STAMP']","[['DARPA-SPAWAR', ''], ['AFOSR', ''], ['NSF-NSEC', ''], ['NIH', '5F32CAI36148-02']]"
Cold welding of ultrathin gold nanowires,"['Lu, Yang', 'Huang, Jian Yu', 'Wang, Chao', 'Sun, Shouheng', 'Lou, Jun']",NATURE NANOTECHNOLOGY,5,3,Mar-10,jlou@rice.edu,"Rice Univ, Dept Mech Engn & Mat Sci, Houston, TX 77005 USA.","['Science & Technology - Other Topics', 'Materials Science']",[],"['TRANSMISSION ELECTRON-MICROSCOPY', 'CARBON NANOTUBES', 'INTEGRATED NANOSYSTEMS', 'MECHANICAL-PROPERTIES', 'NANOSCALE SOLDER', 'NANOPARTICLES', 'FABRICATION', 'TRANSPORT', 'DEPOSITION', 'DIFFUSION']","[['Air Force Office of Sponsored Research (AFOSR)', ''], ['National Science Foundation (NSF)', 'ECCS-0702766'], ['US Department of Energy', 'DE-AC04-94AL85000']]"
"Nanoscale Resolution, Multicomponent Biomolecular Arrays Generated By Aligned Printing With Parylene Peel-Off","['Tan, Christine P.', 'Cipriany, Benjamin R.', 'Lin, David M.', 'Craighead, Harold G.']",NANO LETTERS,10,2,Feb-10,hgcl@cornell.edu,"Cornell Univ, Sch Appl & Engn Phys, Ithaca, NY 14853 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Multiplex', 'protein', 'patterning', 'parylene', 'nanoarray']","['DIP-PEN NANOLITHOGRAPHY', 'PROTEIN ARRAYS', 'C STENCILS', 'STEM-CELLS', 'LITHOGRAPHY', 'MICROARRAYS', 'SURFACES', 'CHIP', 'ACTIVATION', 'MICROSCOPY']","[['NIH', 'DC07489\xa0\nDA025722'], ['NSF', 'ECS-0335765']]"
